Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
The Journey;2002;7,5;Drama;United States;English;;;;;
Home Room;2002;7,1;Crime, Drama;United States;English;;;;;
Convoy;1978;6,3;Dark Comedy, Action, Drama;United States, United Kingdom;English, Spanish;;;;;
La Cage aux Folles;1978;7,2;Farce, Satire, Comedy;France, Italy;French;;;;;
The Fury;1978;6,3;Horror, SciFi, Thriller;United States;English;;;;;
An Enemy of the People;1978;6,9;Drama;United States;English;;;;;
The Alpha Incident;1978;3,9;Horror, SciFi, Thriller;United States;English;;;;;
Yasei no shômei;1978;6,1;Crime;Japan;Japanese;;;;;
Madanolsavam;1978;7,3;Drama, Romance;India;Malayalam;;;;;
Men Can't Be Raped;1978;6,1;Crime, Drama;Finland, Sweden;Swedish;;;;;
Yesterday, Today and Tomorrow;1963;7,2;Comedy, Romance;Italy, France;Italian;;;;;
Enough Rope;1963;6,3;Crime, Drama, Thriller;France, West Germany, Italy;French;;;;;
Raven's End;1963;7,3;Drama;Sweden;Swedish;;;;;
Jak byc kochana;1963;7,3;Drama;Poland;Polish, German, French;;;;;
30 Years of Fun;1963;6,5;Comedy;United States;English;;;;;
The Bad Seed;1963;7,7;Crime, Drama, Thriller;Turkey;Turkish;;;;;
Martha;1967;7,1;Comedy, Drama, Family, Romance;Denmark, Greece;Danish;;;;;
The Plank;1967;6,7;Comedy;United Kingdom;English;;;;;
Festival;1967;7,5;Documentary, Music;United States;English;;;;;
Grand Slam;1967;6,8;Caper, Heist, Crime, Drama;Italy, Spain, West Germany;English, Portuguese, French, German;;;;;
Smashing Time;1967;5,9;Satire, Comedy, Musical;United Kingdom;English;;;;;
Si quiero;1967;5,5;Comedy, Drama, Romance;Mexico;Spanish;;;;;
C'mon, Let's Live a Little;1967;5,3;Comedy, Musical;United States;English;;;;;
He and She;1967;5;Drama, Horror, Thriller;Greece;Greek;;;;;
The King's Pirate;1967;5,5;Swashbuckler, Adventure;United States;English;;;;;
No Way Out;1987;7,1;Political Thriller, Spy, Steamy Romance, Action, Crime, Drama, Mystery, Romance, Thriller;United States;English, Russian;;;;;
