ID_Filme;title;rating;release_date;countries_origin;genres;languages
20562;I Am Not a Witch;69;segunda-feira, 9 de julho de 2018;United Kingdom, France, Germany, Zambia;Comedy, Drama;English, Nyanja, Bemba, Tonga (Tonga Islands)
20778;Pengar: En tragikomisk saga;63;quarta-feira, 2 de janeiro de 1946;Sweden;Comedy, Drama;Swedish
21121;Daytime Drinking;67;sábado, 2 de maio de 2009;South Korea;Comedy, Drama;Korean
21131;Halta Lena och VindÃ¶gda Per;0;segunda-feira, 4 de maio de 1925;Sweden;Comedy, Drama;Swedish
21215;Me;55;quinta-feira, 3 de dezembro de 1987;Brazil;Comedy, Drama;Portuguese
21552;The Farewell;75;domingo, 8 de setembro de 2019;United States, China;Comedy, Drama;Mandarin, English, Japanese, Italian
21558;The Truth;65;sábado, 7 de março de 2020;France, Japan, Switzerland;Comedy, Drama;French, English, Mandarin
21836;Truman;73;terça-feira, 4 de julho de 2017;Spain, Argentina;Comedy, Drama;Spanish, English
22185;A Woman, a Gun and a Noodle Shop;56;quinta-feira, 12 de novembro de 2009;China, Hong Kong;Comedy, Drama;Mandarin, English
22242;Manuela and Manuel;64;sexta-feira, 11 de maio de 2007;Puerto Rico;Comedy, Drama;Spanish, English
23069;Hennes lilla majestÃ¤t;62;quinta-feira, 9 de julho de 1925;Sweden;Comedy, Drama;None, Swedish
23197;Happy Days;87;quarta-feira, 4 de janeiro de 1978;Turkey;Comedy, Drama;Turkish
23313;O grousouzis;74;terça-feira, 11 de março de 1952;Greece;Comedy, Drama;Greek
23398;Quiet Days in Clichy;51;terça-feira, 6 de janeiro de 1970;Denmark;Comedy, Drama;English, Danish
23858;Monsieur Lazhar;75;terça-feira, 3 de julho de 2012;Canada;Comedy, Drama;French, English, Arabic
23997;Devil's Island;71;domingo, 10 de março de 1996;Iceland, Germany, Norway, Denmark;Comedy, Drama;Icelandic, English
24067;Two Girls on the Street;63;segunda-feira, 10 de abril de 1939;Hungary;Comedy, Drama;Hungarian
24087;Nothing Funny;73;sexta-feira, 2 de fevereiro de 1996;Poland;Comedy, Drama;Polish
24146;Shower;75;domingo, 4 de junho de 2000;China;Comedy, Drama;Mandarin, Italian
389;Made in Hong Kong;75;quarta-feira, 3 de junho de 2020;Hong Kong;Comedy, Crime, Drama, Romance;Cantonese
496;As Tears Go By;70;terça-feira, 5 de fevereiro de 2008;Hong Kong;Dark Comedy, Crime, Drama, Romance;Cantonese
510;Sun, Moon and Star: Part 1;69;sábado, 12 de agosto de 1961;Hong Kong;Drama, Romance, War;Mandarin
749;Mini-Skirt Gang;52;sexta-feira, 8 de março de 1974;Hong Kong;Action, Comedy, Crime, Romance;Cantonese, Mandarin
781;The Rebel Intruders;64;quinta-feira, 9 de outubro de 1980;Hong Kong;Action;Mandarin
917;Men Behind the Sun 4;62;sexta-feira, 7 de julho de 1995;Hong Kong;Drama, History, Horror, Thriller, War;Cantonese
1042;Magic Cop;68;domingo, 11 de fevereiro de 1990;Hong Kong;Comedy, Crime, Fantasy, Horror;Cantonese, Japanese
1088;Gwang tin lung fo wooi;48;terça-feira, 11 de abril de 1989;Hong Kong;Gun Fu, Action, Romance;English, Cantonese
1488;Winners & Sinners;66;quinta-feira, 7 de julho de 1983;Hong Kong;Martial Arts, Slapstick, Action, Comedy, Crime;Cantonese
